id,visitors
air_00a91d42b08b08d9_2017-04-23,1.657327097
air_00a91d42b08b08d9_2017-04-24,17.41561245
air_00a91d42b08b08d9_2017-04-25,21.08088913
air_00a91d42b08b08d9_2017-04-26,28.70449959
air_00a91d42b08b08d9_2017-04-27,31.1002346
air_00a91d42b08b08d9_2017-04-28,38.65401975
air_00a91d42b08b08d9_2017-04-29,12.29169689
air_00a91d42b08b08d9_2017-04-30,1.783158079
air_00a91d42b08b08d9_2017-05-01,16.40690876
air_00a91d42b08b08d9_2017-05-02,20.00983392
air_00a91d42b08b08d9_2017-05-03,31.18387438
air_00a91d42b08b08d9_2017-05-04,31.2894393
air_00a91d42b08b08d9_2017-05-05,32.48477823
air_00a91d42b08b08d9_2017-05-06,10.49427291
air_00a91d42b08b08d9_2017-05-07,1.608191299
air_00a91d42b08b08d9_2017-05-08,16.45446439
air_00a91d42b08b08d9_2017-05-09,19.52929827
air_00a91d42b08b08d9_2017-05-10,27.06944966
air_00a91d42b08b08d9_2017-05-11,27.80738168
air_00a91d42b08b08d9_2017-05-12,35.98083239
air_00a91d42b08b08d9_2017-05-13,10.6468305
air_00a91d42b08b08d9_2017-05-14,2.067148164
air_00a91d42b08b08d9_2017-05-15,16.75105159
air_00a91d42b08b08d9_2017-05-16,20.68723713
air_00a91d42b08b08d9_2017-05-17,28.37481718
air_00a91d42b08b08d9_2017-05-18,29.97285112
air_00a91d42b08b08d9_2017-05-19,36.68812694
air_00a91d42b08b08d9_2017-05-20,11.08686393
air_00a91d42b08b08d9_2017-05-21,1.866873916
air_00a91d42b08b08d9_2017-05-22,17.22179737
air_00a91d42b08b08d9_2017-05-23,20.54997695
air_00a91d42b08b08d9_2017-05-24,27.22960523
air_00a91d42b08b08d9_2017-05-25,30.68227945
air_00a91d42b08b08d9_2017-05-26,37.1832442
air_00a91d42b08b08d9_2017-05-27,11.12484438
air_00a91d42b08b08d9_2017-05-28,2.154419405
air_00a91d42b08b08d9_2017-05-29,17.56936076
air_00a91d42b08b08d9_2017-05-30,21.3250889
air_00a91d42b08b08d9_2017-05-31,27.4340934
air_0164b9927d20bcc3_2017-04-23,1.546193562
air_0164b9927d20bcc3_2017-04-24,5.242367701
air_0164b9927d20bcc3_2017-04-25,6.618266594
air_0164b9927d20bcc3_2017-04-26,6.343233845
air_0164b9927d20bcc3_2017-04-27,8.241073968
air_0164b9927d20bcc3_2017-04-28,9.871823722
air_0164b9927d20bcc3_2017-04-29,4.717446798
air_0164b9927d20bcc3_2017-04-30,1.586871379
air_0164b9927d20bcc3_2017-05-01,4.924920039
air_0164b9927d20bcc3_2017-05-02,5.48696802
air_0164b9927d20bcc3_2017-05-03,7.383326998
air_0164b9927d20bcc3_2017-05-04,7.851389913
air_0164b9927d20bcc3_2017-05-05,6.106701672
air_0164b9927d20bcc3_2017-05-06,3.90673076
air_0164b9927d20bcc3_2017-05-07,1.544021976
air_0164b9927d20bcc3_2017-05-08,5.053037836
air_0164b9927d20bcc3_2017-05-09,6.17946286
air_0164b9927d20bcc3_2017-05-10,6.976728571
air_0164b9927d20bcc3_2017-05-11,7.300621143
air_0164b9927d20bcc3_2017-05-12,9.2954705
air_0164b9927d20bcc3_2017-05-13,7.054052694
air_0164b9927d20bcc3_2017-05-14,1.763222573
air_0164b9927d20bcc3_2017-05-15,5.037268275
air_0164b9927d20bcc3_2017-05-16,6.431210027
air_0164b9927d20bcc3_2017-05-17,7.075145015
air_0164b9927d20bcc3_2017-05-18,7.977872137
air_0164b9927d20bcc3_2017-05-19,9.482302422
air_0164b9927d20bcc3_2017-05-20,3.800999365
air_0164b9927d20bcc3_2017-05-21,1.665843048
air_0164b9927d20bcc3_2017-05-22,5.020917692
air_0164b9927d20bcc3_2017-05-23,6.417993896
air_0164b9927d20bcc3_2017-05-24,7.178749144
air_0164b9927d20bcc3_2017-05-25,8.082186213
air_0164b9927d20bcc3_2017-05-26,9.874054271
air_0164b9927d20bcc3_2017-05-27,4.11994067
air_0164b9927d20bcc3_2017-05-28,1.785514723
